# 行為の読み戻しの判定表。path<TAB>verdict<TAB>理由
# ★script の外に置く理由(2026-09-09): 判定表の行は **path を含む非註の行**なので、
#   `orphan-instrument-scan` が「此の台帳が其の道具を走らせている」と読み、他の道具の
#   `no-operator:`(誰も走らせない、という事実の宣言)を一斉に腐った印へ変えてしまう。
#   走査は *.sh/*.py/*.mjs/*.json/*.plist/*.yml しか見ないので、.tsv なら data として置ける。
#   ★逃げではなく分離: 表は判定の**データ**で、走らせる宣言ではない。
ios/tools/bar-material-control.sh	sandbox	砂場の写しだけを変異させ、走行の最後に走る前のバイトと一致する事を確かめる
ios/tools/composer-surface-control.sh	sandbox	同上。共有の復旧区間を持ち、mutation-recovery-copy.test.mjs が全対照の一字一句一致を縛る
ios/tools/conversation-ui-control.sh	sandbox	同上。砂場の写しを変異させ、最後にバイト一致で確認する
ios/tools/inflight-sentence-control.sh	sandbox	同上。変異ごとに restore_all を通し、最後に的の file のバイトを突き合わせる
ios/tools/list-return-refresh-control.sh	sandbox	同上。砂場の写しだけを触り、走行の最後に一致を確かめる
ios/tools/signout-notice-control.sh	sandbox	同上。共有の復旧区間を持ち、Z で走る前のバイトと突き合わせる
ios/tools/uitest-orphan-surface-control.sh	sandbox	同上。2026-09-09 新設。Z が対象 2 file のバイト一致を確かめる
rc-backend/tools/ota-undelivered-observer-control.sh	sandbox	2026-09-09 に砂場へ移した。Z が『変異は起きた、なのに実物は無傷』の連言を確かめる
rc-backend/tools/parity-observer-control.sh	sandbox	同上。実物は読むだけで、変異は砂場の写しに当てる
ios/tools/xcode-tree-lock.sh	atomic	錠は mkdir の原子性そのもの。既に在れば失敗するので、取得の成否は別に読み直す物ではない
ios/tools/mutation-sandbox.sh	atomic	砂場の錠も mkdir。同期は rsync --delete の後に指紋を突き合わせ、走行後に本物側の指紋を取り直す
rc-backend/tools/deploy-to-friday.sh	readback	配った後に healthz の version を読み、観測器の木も指紋で突き合わせる(実測: 30b2944 -> a2a2956 を確認)
rc-backend/tools/deploy-observer-to-friday.sh	readback	段 4『一致したか(独立の測り手)』で observer-parity-check を撃ち、一致しなければ rollback する
rc-backend/tools/deploy-to-edith.sh	readback	配った後に遠隔の状態を読み直す段を持つ(launchctl と file の両方)
rc-backend/tools/rollback-friday.sh	readback	書き戻した後 healthz が期待の版を名乗るまで確かめ、名乗らなければ別の文言で赤にする
rc-backend/tools/verify-rc-backend-state.sh	readback	launchctl と pid と実プロセスを遠隔で読み直す。手元の JOB と remote の job= の一致も走る前に確かめる
